2017-05-09 01:29:04.550470,817864,806364,C-123572-9,Movies & TV Shows,Lazarus Effect- The,REEL,2015-08-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/lazarus-effect-the/806364/
2017-05-09 01:29:09.320894,805262,712463,C-115036-9,Movies & TV Shows,It Follows,REEL,2015-07-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/it-follows/712463/
2017-05-09 01:29:18.254674,803520,705080,C-122385-9,Movies & TV Shows,Texas Killing Fields,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/texas-killing-fields/705080/
2017-05-09 01:29:23.498104,801790,697790,C-117576-9,Movies & TV Shows,Pump Up The Volume,REEL,2015-05-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/pump-up-the-volume/697790/
2017-05-09 01:31:46.989332,858844,448028,AMFLP0010,Music,I'm Not Your Name (Vinyl),UMA,2017-06-02,https://www.jbhifi.com.au/music/Whats-Hot/alternative/im-not-your-name-vinyl/448028/
2017-05-09 01:37:38.717450,858832,448168,EMSC1162,Music,Four Classic Albums: Moanin' In The Moonlight / Howlin' Wolf / Sings Big Bill Broonzy / At Newport,ONLY BLUES,2017-05-04,https://www.jbhifi.com.au/music/browse/blues/four-classic-albums-moanin-in-the-moonlight-howlin-wolf-sings-big-bill-broonzy-a/448168/
2017-05-09 01:37:43.147587,858833,448208,EMSC1208,Music,Four Classic Albums: I'm John Lee Hooker / Travelin' / Plays & Sings The Blues / Burnin',ONLY BLUES,2017-05-04,https://www.jbhifi.com.au/music/browse/blues/four-classic-albums-im-john-lee-hooker-travelin-plays-sings-the-blues-burnin/448208/
2017-05-09 01:37:47.980093,858835,448212,JHR102,Music,Boomerang,ONLY BLUES,2017-05-04,https://www.jbhifi.com.au/music/browse/blues-rock-rock/boomerang/448212/
2017-05-09 01:41:46.906177,857425,697501,697501,Cameras,Nikon D7500 Digital SLR Camera (18-140mm Kit),NIKON,2017-06-22,https://www.jbhifi.com.au/cameras/dslr/nikon/nikon-d7500-digital-slr-camera-18-140mm-kit/697501/
2017-05-09 01:51:13.813531,853589,353166,010-01755-10,iPods- Docks & Fitness,Garmin vivosmart 3 (Black),GARMIN,2017-02-12,https://www.jbhifi.com.au/ipods-docks-fitness/garmin/garmin-vivosmart-3-black/353166/
2017-05-09 01:51:33.304787,858279,446235,MIS9006,iPods- Docks & Fitness,Misfit Replacement Bands for Misfit Ray (Black & White),MISFIT,2017-04-28,https://www.jbhifi.com.au/ipods-docks-fitness/Fitness-Accessories/misfit/misfit-replacement-bands-for-misfit-ray-black-white/446235/
2017-05-09 01:51:37.868245,858278,446236,MIS9051,iPods- Docks & Fitness,Misfit Paracord Band With Tassle for Misfit Ray (Black),MISFIT,2017-04-28,https://www.jbhifi.com.au/ipods-docks-fitness/Fitness-Accessories/misfit/misfit-paracord-band-with-tassle-for-misfit-ray-black/446236/
2017-05-09 01:51:56.561625,785435,609469,010-10997-07,iPods- Docks & Fitness,Garmin Soft Strap Premium Heart Rate Monitor,GARMIN,2014-07-17,https://www.jbhifi.com.au/ipods-docks-fitness/Fitness-Accessories/garmin/garmin-soft-strap-premium-heart-rate-monitor/609469/
2017-05-09 01:52:09.359322,829455,944698,SRSHG1B,iPods- Docks & Fitness,Sony h.ear go Wireless Speaker (Black),SONY,2016-05-24,https://www.jbhifi.com.au/ipods-docks-fitness/wireless-speakers/sony/sony-h-ear-go-wireless-speaker-black/944698/
