2017-03-21 01:05:16.043749,776939,550791,MMA1144,Movies & TV Shows,One Piece (Uncut) - Collection 25,MADMAN,2014-05-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-25/550791/
2017-03-21 01:05:20.510199,777000,550812,MMA5371BR,Movies & TV Shows,Psycho-Pass - Collection 2,MADMAN,2014-05-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/psycho-pass-collection-2/550812/
2017-03-21 01:05:25.379911,776999,550804,MMA5370BR,Movies & TV Shows,Psycho-Pass - Collection 1,MADMAN,2014-05-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/psycho-pass-collection-1/550804/
2017-03-21 01:05:30.260327,772785,537660,MMA5568,Movies & TV Shows,Fairy Tail Collection 8,MADMAN,2014-04-16,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-8/537660/
2017-03-21 01:05:35.065390,768246,518283,MMA5567,Movies & TV Shows,Fairy Tail Collection 7,MADMAN,2014-02-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-7/518283/
2017-03-21 01:05:39.314379,764393,484882,MMA5231,Movies & TV Shows,Future Diary - Collection 1,MADMAN,2013-11-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/future-diary-collection-1/484882/
2017-03-21 01:05:43.954640,764394,484890,MMA4435,Movies & TV Shows,Guilty Crown - Collection 1,MADMAN,2013-11-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/guilty-crown-collection-1/484890/
2017-03-21 01:05:48.303135,760482,450393,MMA6783,Movies & TV Shows,Blue Exorcist - Volume 2,MADMAN,2013-10-16,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/blue-exorcist-volume-2/450393/
2017-03-21 01:05:53.127344,760654,450429,MMA5356,Movies & TV Shows,Haganai - Season 1,MADMAN,2013-10-16,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/haganai-season-1/450429/
2017-03-21 01:05:57.696021,755639,438880,MMA6782,Movies & TV Shows,Blue Exorcist - Volume 1,MADMAN,2013-09-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/blue-exorcist-volume-1/438880/
2017-03-21 01:06:02.519481,502623,417560,MMB1139,Movies & TV Shows,Kenichi: The Mightiest Disciple - Complete Collection,MADMAN,2013-07-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/kenichi-the-mightiest-disciple-complete-collection/417560/
2017-03-21 01:06:07.242389,668115,353677,MMA4332,Movies & TV Shows,Bleach The Movie 4: Hell Verse,MADMAN,2013-03-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/bleach-the-movie-4-hell-verse/353677/
2017-03-21 01:06:12.140033,671542,292003,MMB774,Movies & TV Shows,Cardcaptor Sakura - Collection 1 (Uncut),MADMAN,2012-09-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/cardcaptor-sakura-collection-1-uncut/292003/
2017-03-21 01:06:17.106653,576193,304494,MMA4439,Movies & TV Shows,Gintama The Movie,MADMAN,2012-08-01,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/gintama-the-movie/304494/
2017-03-21 01:06:21.895021,439054,294747,MMA4619,Movies & TV Shows,Rosario + Vampire - Season 1,MADMAN,2012-03-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/rosario-vampire-season-1/294747/
2017-03-21 01:06:26.470902,550603,282371,MMB762,Movies & TV Shows,Bleach - Collection 5,MADMAN,2010-12-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/bleach-collection-5/282371/
2017-03-21 01:06:30.782368,552257,270003,MMB665BR,Movies & TV Shows,Devil May Cry: The Animated Series Collection,MADMAN,2010-04-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/devil-may-cry-the-animated-series-collection/270003/
2017-03-21 01:06:36.498158,647226,269391,MMB716,Movies & TV Shows,Naruto (Uncut) - Collection 16,MADMAN,2010-02-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/naruto-uncut-collection-16/269391/
2017-03-21 01:06:41.348736,483229,269307,MMB715,Movies & TV Shows,Naruto (Uncut) - Collection 15,MADMAN,2009-12-16,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/naruto-uncut-collection-15/269307/
2017-03-21 01:06:46.106664,622571,160840,MMA3204,Movies & TV Shows,Only Yesterday,MADMAN,2006-10-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/only-yesterday/160840/
2017-03-21 01:06:50.988726,631874,122115,MMB344,Movies & TV Shows,Inuyasha - Season 1,MADMAN,2006-05-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/inuyasha-season-1/122115/
2017-03-21 01:07:44.593268,855667,360671,274351,Music,Gilded Arias (Vinyl),WARNER,2017-05-19,https://www.jbhifi.com.au/music/Whats-Hot/country-folk/gilded-arias-vinyl/360671/
2017-03-21 01:07:52.876751,855662,360647,88985416431,Music,Send Away The Tigers (10 Year Collectors' Edition) (180gm Vinyl),SONY,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative-rock/send-away-the-tigers-10-year-collectors-edition-180gm-vinyl/360647/
2017-03-21 01:07:57.231712,855665,360667,275311,Music,Powerplant (Vinyl),WARNER,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/alternative/powerplant-vinyl/360667/
