2017-04-25 01:26:31.686363,803488,704916,DVD9816,Movies & TV Shows,Out Of The Dark,UNISPHE,2015-06-24,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/out-of-the-dark/704916/
2017-04-25 01:26:36.725680,805239,712532,EAG2963,Movies & TV Shows,In the Name of the King 3: The Last Mission,GRYPHON,2015-06-24,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/in-the-name-of-the-king-3-the-last-mission/712532/
2017-04-25 01:26:41.577235,805126,712536,EAG2964,Movies & TV Shows,Love is in the Air,GRYPHON,2015-06-24,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/love-is-in-the-air/712536/
2017-04-25 01:26:46.980078,805138,712468,MP066,Movies & TV Shows,Charlie's Farm,GRYPHON,2015-06-17,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/charlies-farm/712468/
2017-04-25 01:26:51.726264,636007,322111,C-122030-9,Movies & TV Shows,Gorillas in the Mist,ROADSHOW,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/gorillas-in-the-mist/322111/
2017-04-25 01:26:56.911123,803466,705171,C-122395-9,Movies & TV Shows,In Love And War,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/in-love-and-war/705171/
2017-04-25 01:27:01.575015,803518,705072,C-122383-9,Movies & TV Shows,Semi-Pro,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/semi-pro/705072/
2017-04-25 01:27:06.545161,803522,705068,C-122382-9,Movies & TV Shows,Next Three Days- The,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/thriller/next-three-days-the/705068/
2017-04-25 01:27:14.957565,803528,705056,C-122379-9,Movies & TV Shows,Ides of March- The,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/ides-of-march-the/705056/
2017-04-25 01:27:19.795810,803532,705052,C-122378-9,Movies & TV Shows,Brothers,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/brothers/705052/
2017-04-25 01:27:24.879874,803468,705153,C-122389-9,Movies & TV Shows,Corrina Corrina,REEL,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/corrina-corrina/705153/
