2017-05-06 01:27:59.419610,438078,290419,BD70491,Movies & TV Shows,Underworld: Awakening,UNISPHE,2012-05-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/underworld-awakening/290419/
2017-05-06 01:28:03.960189,507658,290426,DP21385,Movies & TV Shows,Underworld Quadrilogy,UNISPHE,2012-05-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/underworld-quadrilogy/290426/
2017-05-06 01:28:08.684186,507657,290436,D70491,Movies & TV Shows,Underworld: Awakening,UNISPHE,2012-05-30,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/underworld-awakening/290436/
2017-05-06 01:28:13.244812,438067,290381,DA80839,Movies & TV Shows,Girl With The Dragon Tattoo- The,UNISPHE,2012-05-23,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/girl-with-the-dragon-tattoo-the/290381/
2017-05-06 01:28:17.856875,438111,290308,8283402,Movies & TV Shows,O Brother- Where Art Thou?,UNISPHE,2012-05-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/o-brother-where-art-thou/290308/
2017-05-06 01:28:22.352345,438444,297897,8288485,Movies & TV Shows,Tower Heist,UNISPHE,2012-04-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/tower-heist/297897/
2017-05-06 01:28:27.216108,577164,297881,8288483,Movies & TV Shows,Tower Heist,UNISPHE,2012-04-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/tower-heist/297881/
2017-05-06 01:28:31.870447,716307,293076,D83427,Movies & TV Shows,Twilight Saga: Breaking Dawn Part 1,UNISPHE,2012-03-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/twilight-saga-breaking-dawn-part-1/293076/
2017-05-06 01:28:36.737120,438687,293072,BD83427,Movies & TV Shows,Twilight Saga: Breaking Dawn Part 1,UNISPHE,2012-03-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/twilight-saga-breaking-dawn-part-1/293072/
2017-05-06 01:28:41.767807,439016,292948,8286585,Movies & TV Shows,Jane Eyre,UNISPHE,2011-12-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/jane-eyre/292948/
